"estimator","treatment","outcome","h_min","h_max","estimate_start","estimate_end","endpoint_delta","stable","max_delta_threshold"
"lp","fed_funds","poverty_all_q",2,8,-0.229511317077905,-0.264204605265059,-0.034693288187154,TRUE,1
"dml","fed_funds","poverty_all_q",2,8,0.377648181303974,-1.15593850008391,-1.53358668138788,FALSE,1
"tmle","fed_funds","poverty_all_q",2,8,-0.939839283727439,-6.53936205906252,-5.59952277533508,FALSE,1
"cf","fed_funds","poverty_all_q",2,8,0.213429811416584,-0.142453124839686,-0.35588293625627,TRUE,1
"lp","fed_funds","poverty_child_q",2,8,-0.241782749938841,-0.514020747884003,-0.272237997945162,TRUE,1
"dml","fed_funds","poverty_child_q",2,8,0.0626294199060162,-2.48699341802277,-2.54962283792879,FALSE,1
"tmle","fed_funds","poverty_child_q",2,8,-1.6699668422683,-8.22028132585821,-6.55031448358991,FALSE,1
"cf","fed_funds","poverty_child_q",2,8,0.285578691874521,0.125999143585566,-0.159579548288955,TRUE,1
"lp","fed_funds","gini_households_q",2,8,0.000698862759529397,-0.000111280284433715,-0.000810143043963112,TRUE,1
"dml","fed_funds","gini_households_q",2,8,-0.0013683909283359,-0.00116401209493598,0.00020437883339992,TRUE,1
"tmle","fed_funds","gini_households_q",2,8,-0.000629395992324667,0.0427275825167385,0.0433569785090632,TRUE,1
"cf","fed_funds","gini_households_q",2,8,0.00436333678634109,0.0128713900750585,0.00850805328871741,TRUE,1
"lp","fed_funds","median_real_income_fred_q",2,8,1245.03873487531,607.110062281632,-637.928672593678,FALSE,1
"dml","fed_funds","median_real_income_fred_q",2,8,845.301938433258,4515.92004673115,3670.61810829789,FALSE,1
"tmle","fed_funds","median_real_income_fred_q",2,8,7214.78510742082,24171.0437531209,16956.2586457001,FALSE,1
"cf","fed_funds","median_real_income_fred_q",2,8,-337.432686113963,7386.77942119976,7724.21210731372,FALSE,1
"lp","fed_funds","wealth_share_gap_top10_bottom50",2,8,0.334306712918193,0.431472629123653,0.09716591620546,TRUE,1
"dml","fed_funds","wealth_share_gap_top10_bottom50",2,8,-1.44366691962722,-3.15720826359364,-1.71354134396642,FALSE,1
"tmle","fed_funds","wealth_share_gap_top10_bottom50",2,8,-1.53033670539489,0.992867604283586,2.52320430967848,FALSE,1
"cf","fed_funds","wealth_share_gap_top10_bottom50",2,8,-0.238781090235187,0.843297091583074,1.08207818181826,FALSE,1
"lp","fed_funds","wealth_share_gap_top1_bottom50",2,8,0.409934046539311,0.085369515199362,-0.324564531339949,TRUE,1
"dml","fed_funds","wealth_share_gap_top1_bottom50",2,8,-0.578300160725038,-0.632071910307902,-0.053771749582864,TRUE,1
"tmle","fed_funds","wealth_share_gap_top1_bottom50",2,8,0.245023873253059,-8.59751582429598,-8.84253969754904,FALSE,1
"cf","fed_funds","wealth_share_gap_top1_bottom50",2,8,-0.331723696858807,6.0002169655,6.33194066235881,FALSE,1
"lp","transfer_composite","poverty_all_q",2,8,-1.29822232798334e-06,-2.87048328838805e-06,-1.57226096040471e-06,TRUE,1
"dml","transfer_composite","poverty_all_q",2,8,-2.26428797069609e-06,-1.73831381220821e-06,5.2597415848788e-07,TRUE,1
"tmle","transfer_composite","poverty_all_q",2,8,6.04241502809973,0.29639905239744,-5.74601597570229,FALSE,1
"cf","transfer_composite","poverty_all_q",2,8,3.01085926084349e-06,-1.01215637256517e-06,-4.02301563340866e-06,TRUE,1
"lp","transfer_composite","poverty_child_q",2,8,-2.51233313775352e-06,-4.66512202094005e-06,-2.15278888318653e-06,TRUE,1
"dml","transfer_composite","poverty_child_q",2,8,-2.60960682471287e-06,-4.32087484955851e-06,-1.71126802484564e-06,TRUE,1
"tmle","transfer_composite","poverty_child_q",2,8,8.14079941944221,4.17591055889517,-3.96488886054704,FALSE,1
"cf","transfer_composite","poverty_child_q",2,8,4.0286651776671e-06,8.95247726249924e-07,-3.13341745141718e-06,TRUE,1
"lp","transfer_composite","gini_households_q",2,8,2.21468593711713e-08,-4.42478521185793e-09,-2.65716445830292e-08,TRUE,1
"dml","transfer_composite","gini_households_q",2,8,1.14904001699981e-08,-7.5722829228585e-10,-1.2247628462284e-08,TRUE,1
"tmle","transfer_composite","gini_households_q",2,8,0.021361259060771,0.158036482911521,0.13667522385075,TRUE,1
"cf","transfer_composite","gini_households_q",2,8,6.15536924487774e-08,9.14536588974526e-08,2.98999664486752e-08,TRUE,1
"lp","transfer_composite","median_real_income_fred_q",2,8,0.00203856889975361,0.00367442174307868,0.00163585284332507,TRUE,1
"dml","transfer_composite","median_real_income_fred_q",2,8,0.00110795187163068,0.00594148304403904,0.00483353117240836,TRUE,1
"tmle","transfer_composite","median_real_income_fred_q",2,8,-60311.3559120251,740.84349978731,61052.1994118124,FALSE,1
"cf","transfer_composite","median_real_income_fred_q",2,8,-0.00476017066759642,0.0524844637290769,0.0572446343966733,TRUE,1
"lp","transfer_composite","wealth_share_gap_top10_bottom50",2,8,-6.61797283071828e-06,-8.17517461989727e-06,-1.55720178917899e-06,TRUE,1
"dml","transfer_composite","wealth_share_gap_top10_bottom50",2,8,-7.0289619649818e-06,-1.47274217675978e-05,-7.698459802616e-06,TRUE,1
"tmle","transfer_composite","wealth_share_gap_top10_bottom50",2,8,1.82284685329736,21.9757812480139,20.1529343947165,FALSE,1
"cf","transfer_composite","wealth_share_gap_top10_bottom50",2,8,-3.36849033448784e-06,5.99178520059876e-06,9.3602755350866e-06,TRUE,1
"lp","transfer_composite","wealth_share_gap_top1_bottom50",2,8,-6.5003633639342e-08,-1.44165083235573e-06,-1.37664719871639e-06,TRUE,1
"dml","transfer_composite","wealth_share_gap_top1_bottom50",2,8,2.10261640028152e-06,-3.53569913605446e-06,-5.63831553633598e-06,TRUE,1
"tmle","transfer_composite","wealth_share_gap_top1_bottom50",2,8,7.76791445162571,24.9723481603458,17.2044337087201,FALSE,1
"cf","transfer_composite","wealth_share_gap_top1_bottom50",2,8,-4.67963382481306e-06,4.26326754509788e-05,4.73123092757919e-05,TRUE,1
"lp","ui_benefits","poverty_all_q",2,8,-2.09016312997368e-05,-2.21635800952082e-05,-1.2619487954714e-06,TRUE,1
"dml","ui_benefits","poverty_all_q",2,8,3.12980855025341e-05,3.26278845789282e-05,1.3297990763941e-06,TRUE,1
"tmle","ui_benefits","poverty_all_q",2,8,27.4382923739535,-57.186614133565,-84.6249065075185,FALSE,1
"cf","ui_benefits","poverty_all_q",2,8,2.73824152657593e-05,-1.57843312699568e-05,-4.31667465357161e-05,TRUE,1
"lp","ui_benefits","poverty_child_q",2,8,-3.58840665352449e-05,-3.62931416270197e-05,-4.09075091774801e-07,TRUE,1
"dml","ui_benefits","poverty_child_q",2,8,3.52756421057612e-05,2.3669149271883e-05,-1.16064928338782e-05,TRUE,1
"tmle","ui_benefits","poverty_child_q",2,8,48.5887848711539,-121.702579080388,-170.291363951542,FALSE,1
"cf","ui_benefits","poverty_child_q",2,8,3.66389038160127e-05,1.39611695019584e-05,-2.26777343140543e-05,TRUE,1
"lp","ui_benefits","gini_households_q",2,8,1.00192548955092e-07,-5.55565299603748e-08,-1.55749078915467e-07,TRUE,1
"dml","ui_benefits","gini_households_q",2,8,5.77038023420095e-08,4.06424629609951e-08,-1.70613393810144e-08,TRUE,1
"tmle","ui_benefits","gini_households_q",2,8,-0.0202122044957461,-0.0468796386674526,-0.0266674341717065,TRUE,1
"cf","ui_benefits","gini_households_q",2,8,5.59803239458502e-07,1.42619746021224e-06,8.66394220753738e-07,TRUE,1
"lp","ui_benefits","median_real_income_fred_q",2,8,0.0369901457567281,0.0286941730895455,-0.0082959726671826,TRUE,1
"dml","ui_benefits","median_real_income_fred_q",2,8,-0.0353844037393332,-0.0335611123317747,0.0018232914075585,TRUE,1
"tmle","ui_benefits","median_real_income_fred_q",2,8,-72359.6341064597,-37875.7014647217,34483.932641738,FALSE,1
"cf","ui_benefits","median_real_income_fred_q",2,8,-0.0432916183266751,0.818482385214746,0.861774003541421,TRUE,1
"lp","social_security","poverty_all_q",2,8,0.000161176535826422,3.30925754876756e-05,-0.000128083960338746,TRUE,1
"dml","social_security","poverty_all_q",2,8,7.7912658018665e-05,0.00030133323717449,0.000223420579155825,TRUE,1
"tmle","social_security","poverty_all_q",2,8,6.04241502809973,0.29639905239744,-5.74601597570229,FALSE,1
"cf","social_security","poverty_all_q",2,8,-0.000447743934400267,-0.000123539059506012,0.000324204874894255,TRUE,1
"lp","social_security","poverty_child_q",2,8,0.000235822958351798,4.60068956920118e-05,-0.000189816062659786,TRUE,1
"dml","social_security","poverty_child_q",2,8,8.43112100849854e-05,0.000373867073143508,0.000289555863058523,TRUE,1
"tmle","social_security","poverty_child_q",2,8,8.14079941944221,4.17591055889517,-3.96488886054704,FALSE,1
"cf","social_security","poverty_child_q",2,8,-0.000599101532405973,0.00010926973847564,0.000708371270881613,TRUE,1
"lp","social_security","gini_households_q",2,8,9.33274217805978e-07,4.36499958450778e-07,-4.967742593552e-07,TRUE,1
"dml","social_security","gini_households_q",2,8,1.92512185271663e-07,9.60374929668978e-07,7.67862744397315e-07,TRUE,1
"tmle","social_security","gini_households_q",2,8,0.021361259060771,0.158036482911521,0.13667522385075,TRUE,1
"cf","social_security","gini_households_q",2,8,-9.15363025841436e-06,1.11624046588503e-05,2.03160349172647e-05,TRUE,1
"lp","social_security","median_real_income_fred_q",2,8,-0.344609443788084,-0.205086654876781,0.139522788911303,TRUE,1
"dml","social_security","median_real_income_fred_q",2,8,-0.202303917751251,-0.243470014139524,-0.041166096388273,TRUE,1
"tmle","social_security","median_real_income_fred_q",2,8,-60311.3559120251,740.84349978731,61052.1994118124,FALSE,1
"cf","social_security","median_real_income_fred_q",2,8,0.707883483908473,6.40600747427314,5.69812399036467,FALSE,1
"lp","snap_persons","poverty_all_q",2,8,1.589243749131e-05,7.68101220461028e-06,-8.21142528669972e-06,TRUE,1
"dml","snap_persons","poverty_all_q",2,8,3.66277698370955e-05,3.81951557175098e-05,1.5673858804143e-06,TRUE,1
"tmle","snap_persons","poverty_all_q",2,8,26.624277566516,10.5355459565152,-16.0887316100008,FALSE,1
"cf","snap_persons","poverty_all_q",2,8,-1.83925295115423e-05,-3.78059504327196e-06,1.46119344682703e-05,TRUE,1
"lp","snap_persons","poverty_child_q",2,8,2.39845580191789e-05,1.05988990266074e-05,-1.33856589925715e-05,TRUE,1
"dml","snap_persons","poverty_child_q",2,8,4.89275001806816e-05,6.34208415060103e-05,1.44933413253287e-05,TRUE,1
"tmle","snap_persons","poverty_child_q",2,8,38.8263093807486,16.1063566903019,-22.7199526904467,FALSE,1
"cf","snap_persons","poverty_child_q",2,8,-2.46100321380005e-05,3.34391918884157e-06,2.79539513268421e-05,TRUE,1
"lp","credit_composite","poverty_all_q",2,8,-3.78748529359053e-09,-1.39090464179508e-09,2.39658065179545e-09,TRUE,1
"dml","credit_composite","poverty_all_q",2,8,-2.13698911456228e-09,-8.1847996734605e-09,-6.04781055889822e-09,TRUE,1
"tmle","credit_composite","poverty_all_q",2,8,2.79304004805768,1.92425659791184,-0.86878345014584,TRUE,1
"cf","credit_composite","poverty_all_q",2,8,-1.03598687601739e-08,-2.21619429984145e-09,8.14367446033245e-09,TRUE,1
"lp","credit_composite","poverty_child_q",2,8,-3.22621852356926e-09,-1.12560836540578e-09,2.10061015816348e-09,TRUE,1
"dml","credit_composite","poverty_child_q",2,8,-8.904292086939e-09,-2.18731985569528e-08,-1.29689064700138e-08,TRUE,1
"tmle","credit_composite","poverty_child_q",2,8,2.5159563540748,7.85552050358209,5.33956414950729,FALSE,1
"cf","credit_composite","poverty_child_q",2,8,-1.38619705882956e-08,1.96021381847962e-09,1.58221844067752e-08,TRUE,1
"lp","credit_composite","median_real_income_fred_q",2,8,2.35870245491933e-05,2.08872471789108e-05,-2.6997773702825e-06,TRUE,1
"dml","credit_composite","median_real_income_fred_q",2,8,-2.378233830978e-05,-1.06216427177494e-05,1.31606955920306e-05,TRUE,1
"tmle","credit_composite","median_real_income_fred_q",2,8,-62467.0104326052,21884.0253590385,84351.0357916437,FALSE,1
"cf","credit_composite","median_real_income_fred_q",2,8,1.63789599977669e-05,0.000114918773918211,9.85398139204441e-05,TRUE,1
"lp","credit_composite","wealth_share_gap_top1_bottom50",2,8,1.12693108372292e-08,1.01515035881373e-08,-1.1178072490919e-09,TRUE,1
"dml","credit_composite","wealth_share_gap_top1_bottom50",2,8,1.07288422302763e-08,1.62109309506398e-08,5.4820887203635e-09,TRUE,1
"tmle","credit_composite","wealth_share_gap_top1_bottom50",2,8,-40.9599027900315,-7.79401519169349,33.165887598338,FALSE,1
"cf","credit_composite","wealth_share_gap_top1_bottom50",2,8,1.61018460414982e-08,9.33475250308413e-08,7.72456789893431e-08,TRUE,1
"lp","revolving_credit","poverty_all_q",2,8,-3.80847326628021e-09,-1.41095058739662e-09,2.39752267888359e-09,TRUE,1
"dml","revolving_credit","poverty_all_q",2,8,1.09369987918477e-09,1.41561610311498e-08,1.3062461151965e-08,TRUE,1
"tmle","revolving_credit","poverty_all_q",2,8,43.773908826973,1.92425659791184,-41.8496522290612,FALSE,1
"cf","revolving_credit","poverty_all_q",2,8,-1.05273152550493e-08,-2.2288950338995e-09,8.2984202211498e-09,TRUE,1
"lp","revolving_credit","poverty_child_q",2,8,-3.24922823453895e-09,-1.15534916168836e-09,2.09387907285059e-09,TRUE,1
"dml","revolving_credit","poverty_child_q",2,8,-9.9131940026283e-09,-3.56047835451058e-09,6.35271564811772e-09,TRUE,1
"tmle","revolving_credit","poverty_child_q",2,8,78.812274066821,7.85552050358209,-70.9567535632389,FALSE,1
"cf","revolving_credit","poverty_child_q",2,8,-1.408602153342e-08,1.97144756011187e-09,1.60574690935319e-08,TRUE,1
"lp","cc_delinquency","poverty_all_q",2,8,-0.0685067777713777,0.650173710652631,0.718680488424009,TRUE,1
"dml","cc_delinquency","poverty_all_q",2,8,1.08071575698071,1.17437090282071,0.0936551458400001,TRUE,1
"tmle","cc_delinquency","poverty_all_q",2,8,6.46037762273806,-12.48856194154,-18.9489395642781,FALSE,1
"cf","cc_delinquency","poverty_all_q",2,8,1.00682663684533,0.0959644373307484,-0.910862199514582,TRUE,1
"lp","cc_delinquency","poverty_child_q",2,8,-0.171538868297804,1.10112619100343,1.27266505930123,FALSE,1
"dml","cc_delinquency","poverty_child_q",2,8,1.52203856332739,2.26469658263717,0.74265801930978,TRUE,1
"tmle","cc_delinquency","poverty_child_q",2,8,11.8748424119996,-22.0955528597527,-33.9703952717523,FALSE,1
"cf","cc_delinquency","poverty_child_q",2,8,1.34717934662599,-0.0848801100918172,-1.43205945671781,FALSE,1
"lp","household_networth","gini_households_q",2,8,8.51755766899767e-13,1.85187297030629e-13,-6.66568469869138e-13,TRUE,1
"dml","household_networth","gini_households_q",2,8,4.36027895048584e-13,-4.81417569259336e-13,-9.1744546430792e-13,TRUE,1
"tmle","household_networth","gini_households_q",2,8,0.021361259060771,0.155731873439664,0.134370614378893,TRUE,1
"cf","household_networth","gini_households_q",2,8,1.09349345248826e-12,3.33881456858663e-13,-7.59611995629597e-13,TRUE,1
"lp","household_networth","wealth_share_gap_top10_bottom50",2,8,-2.05704143800878e-10,-1.48071343318122e-10,5.7632800482756e-11,TRUE,1
"dml","household_networth","wealth_share_gap_top10_bottom50",2,8,-2.56111876863541e-10,-3.31669875381118e-10,-7.5557998517577e-11,TRUE,1
"tmle","household_networth","wealth_share_gap_top10_bottom50",2,8,1.82284685329736,21.9120567845104,20.089209931213,FALSE,1
"cf","household_networth","wealth_share_gap_top10_bottom50",2,8,-5.98407988049887e-11,2.18749692038126e-11,8.17157680088013e-11,TRUE,1
"lp","household_networth","wealth_share_gap_top1_bottom50",2,8,1.16808852193711e-10,1.82786805005735e-11,-9.85301716931375e-11,TRUE,1
"dml","household_networth","wealth_share_gap_top1_bottom50",2,8,-4.96975469905051e-11,-8.18258880111532e-11,-3.21283410206481e-11,TRUE,1
"tmle","household_networth","wealth_share_gap_top1_bottom50",2,8,7.76791445162571,24.5069005570687,16.738986105443,FALSE,1
"cf","household_networth","wealth_share_gap_top1_bottom50",2,8,-8.31330947649004e-11,1.55644508496927e-10,2.38777603261827e-10,TRUE,1
"lp","home_equity","wealth_share_gap_top10_bottom50",2,8,-9.55140866516307e-10,-1.73989984844187e-10,7.8115088167212e-10,TRUE,1
"dml","home_equity","wealth_share_gap_top10_bottom50",2,8,-7.2410030354783e-10,-8.84585722235287e-10,-1.60485418687457e-10,TRUE,1
"tmle","home_equity","wealth_share_gap_top10_bottom50",2,8,1.82284685329736,49.212310166976,47.3894633136786,FALSE,1
"cf","home_equity","wealth_share_gap_top10_bottom50",2,8,-1.93868783957941e-10,5.23533741461148e-10,7.17402525419089e-10,TRUE,1
"lp","home_equity","wealth_share_gap_top1_bottom50",2,8,-5.660841392392e-10,1.80907329017478e-11,5.84174872140948e-10,TRUE,1
"dml","home_equity","wealth_share_gap_top1_bottom50",2,8,-2.09711303760378e-10,9.2349476204321e-12,2.1894625138081e-10,TRUE,1
"tmle","home_equity","wealth_share_gap_top1_bottom50",2,8,7.76791445162571,39.853886498829,32.0859720472033,FALSE,1
"cf","home_equity","wealth_share_gap_top1_bottom50",2,8,-2.69329826983919e-10,3.72504075832702e-09,3.99437058531094e-09,TRUE,1
