"treatment","outcome","horizon","coef_expansion","coef_recession","coef_recession_gap","se_expansion","se_recession","se_recession_gap","p_expansion","p_recession","p_recession_gap","q_recession_gap","n_obs","state_source","provenance_run_id","provenance_run_timestamp_utc","provenance_config_id","provenance_config_path","provenance_stage_id"
"ui_benefits","poverty_all_q",2,4.65897665107285e-06,5.6943047957557e-06,1.03532814468285e-06,2.9549761173862e-06,2.9549761173862e-06,3.25047372912482e-06,0.0862118471278344,0.0780011950204216,0.0182106521074128,0.0262233390346745,139,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"ui_benefits","poverty_all_q",4,8.86129192747408e-06,1.08304679113572e-05,1.96917598388313e-06,4.62959187393614e-06,4.62959187393614e-06,5.09255106132975e-06,0.0370835884523246,0.0335518181235318,0.0135317703287928,0.0221891962888379,137,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"ui_benefits","poverty_all_q",8,6.40438261546432e-06,7.82757875223417e-06,1.42319613676985e-06,8.29735028238968e-06,8.29735028238968e-06,9.12708531062865e-06,0.412353276446172,0.373081535832251,0.0492717406139212,0.0572187955516505,133,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"ui_benefits","poverty_child_q",2,6.47279465369052e-06,7.91119346562175e-06,1.43839881193123e-06,5.12231642744471e-06,5.12231642744471e-06,5.63454807018918e-06,0.170766159943093,0.154502716138989,0.0262634438041041,0.033767284890991,139,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"ui_benefits","poverty_child_q",4,1.17898327581139e-05,1.44097955932503e-05,2.61996283513643e-06,8.60803822841443e-06,8.60803822841443e-06,9.46884205125588e-06,0.136989772172528,0.123943127203716,0.0230466449688122,0.0317312138300276,137,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"ui_benefits","poverty_child_q",8,6.28143708569013e-06,7.67731199362127e-06,1.39587490793114e-06,1.3343377507201e-05,1.3343377507201e-05,1.46777152579211e-05,0.631936767278604,0.571752313252071,0.0701844540265337,0.0741434243178299,133,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"ui_benefits","gini_households_q",2,4.88628359450141e-08,5.9721243932795e-08,1.08584079877809e-08,2.2819316368489e-08,2.2819316368489e-08,2.5101248005338e-08,0.0197089138269243,0.0178318744148362,0.011877039412088,0.0221891962888379,139,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"ui_benefits","gini_households_q",4,7.8054179058617e-08,9.53995521827541e-08,1.73453731241371e-08,3.90735992662137e-08,3.90735992662137e-08,4.29809591928351e-08,0.0295759992229343,0.0267592373921787,0.0128167618307557,0.0221891962888379,137,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"ui_benefits","gini_households_q",8,-1.5247504069278e-08,-1.86358383068953e-08,-3.38833423761733e-09,4.81499000259653e-08,4.81499000259653e-08,5.29648900285619e-08,0.761808478627776,0.689255290187036,0.0825531884407407,0.0825531884407407,133,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"ui_benefits","median_real_income_fred_q",2,0.00536560694732664,0.00655796404673256,0.00119235709940592,0.0111427911869613,0.0111427911869613,0.0122570703056575,0.623194881214672,0.563842987765655,0.0693518934490165,0.0741434243178299,139,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"ui_benefits","median_real_income_fred_q",4,-0.000309332595153297,-0.000378073171854029,-6.87405767007326e-05,0.0221378932848884,0.0221378932848884,0.0243516826133772,1,0.938254698365732,0.0717453016342675,0.0741434243178299,137,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"ui_benefits","median_real_income_fred_q",8,-0.0281214736923517,-0.0343706900684298,-0.00624921637607815,0.0358502091368259,0.0358502091368259,0.0394352300505085,0.404340208688026,0.365831617384405,0.0485085913036216,0.0572187955516505,133,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"transfers_total","poverty_all_q",2,1.13527237737138e-06,1.38755512789835e-06,2.52282750526973e-07,1.99232512927992e-07,1.99232512927992e-07,2.19155764220792e-07,3.62753259668595e-09,3.28205330176347e-09,0.0100000003454793,0.0221891962888379,139,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"transfers_total","poverty_all_q",4,1.92098343292293e-06,2.34786864023914e-06,4.26885207316207e-07,3.23914391165936e-07,3.23914391165936e-07,3.56305830282529e-07,1.02986036547747e-09,9.31778425908184e-10,0.0100000000980819,0.0221891962888379,137,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"transfers_total","poverty_all_q",8,1.74989193750804e-06,2.13875681250982e-06,3.88864875001786e-07,7.916478954301e-07,7.916478954301e-07,8.7081268497311e-07,0.0161690416501065,0.0146291329215249,0.0115399087285816,0.0221891962888379,133,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"transfers_total","poverty_child_q",2,1.98455227107126e-06,2.42556388686487e-06,4.41011615793614e-07,3.73183634673126e-07,3.73183634673126e-07,4.10501998140438e-07,2.86979391188553e-08,2.59648020599167e-08,0.0100000027331371,0.0221891962888379,139,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"transfers_total","poverty_child_q",4,3.36450852256372e-06,4.11217708313343e-06,7.47668560569716e-07,5.63639358902126e-07,5.63639358902126e-07,6.20003294792339e-07,8.2819113943385e-10,7.49315792821102e-10,0.0100000000788753,0.0221891962888379,137,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"transfers_total","poverty_child_q",8,2.95367275735469e-06,3.61004448121128e-06,6.56371723856597e-07,1.53302171267916e-06,1.53302171267916e-06,1.68632388394708e-06,0.0359129230937874,0.0324926447039029,0.0134202783898845,0.0221891962888379,133,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"transfers_total","gini_households_q",2,9.9932268061191e-09,1.22139438741456e-08,2.22071706802647e-09,1.55942490063544e-09,1.55942490063544e-09,1.71536739069898e-09,6.38173019656432e-11,5.77394636832009e-11,0.0100000000060778,0.0221891962888379,139,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"transfers_total","gini_households_q",4,1.64386789841865e-08,2.00917187584502e-08,3.65303977426367e-09,2.11699158690702e-09,2.11699158690702e-09,2.32869074559772e-09,1.90035659176376e-14,1.71937024969102e-14,0.0100000000000018,0.0221891962888379,137,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"transfers_total","gini_households_q",8,1.0734955882739e-08,1.31205016344588e-08,2.38554575171979e-09,2.9855742744175e-09,2.9855742744175e-09,3.28413170185925e-09,0.000114309582130031,0.000103422955260504,0.0100108866268695,0.0221891962888379,133,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"transfers_total","median_real_income_fred_q",2,0.00192141489458365,0.0023483959822689,0.000426981087685255,0.00111669812583468,0.00111669812583468,0.00122836793841815,0.0609551198943824,0.0551498703806317,0.0158052495137507,0.0243317244403737,139,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"transfers_total","median_real_income_fred_q",4,0.000570863527312968,0.000697722088938072,0.000126858561625104,0.00127923139322993,0.00127923139322993,0.00140715453255292,0.651880789911179,0.589796905157733,0.0720838847534457,0.0741434243178299,137,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"transfers_total","median_real_income_fred_q",8,-0.00509596050063794,-0.00622839616744638,-0.00113243566680843,0.00167441030852637,0.00167441030852637,0.001841851339379,0.00100612576618255,0.000910304264641357,0.0100958215015412,0.0221891962888379,133,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"transfer_composite_fp","poverty_all_q",2,6.95455399847658e-06,8.50001044258249e-06,1.54545644410591e-06,2.63975050717688e-06,2.63975050717688e-06,2.90372555789457e-06,0.0042245643964633,0.00382222493013346,0.0104023394663298,0.0221891962888379,139,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"transfer_composite_fp","poverty_all_q",4,1.41025425298976e-05,1.72364408698748e-05,3.13389833997725e-06,4.83744271648496e-06,4.83744271648496e-06,5.32118698813346e-06,0.00159510305563883,0.00144318847891133,0.0101519145767275,0.0221891962888379,137,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"transfer_composite_fp","poverty_all_q",8,2.0316785228203e-05,2.4831626390026e-05,4.5148411618229e-06,1.06276627550443e-05,1.06276627550443e-05,1.16904290305487e-05,0.0373806761867096,0.0338206117879754,0.0135600643987343,0.0221891962888379,133,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"transfer_composite_fp","poverty_child_q",2,1.0188734198517e-05,1.2452897353743e-05,2.26416315522601e-06,3.80087459615583e-06,3.80087459615583e-06,4.18096205577142e-06,0.00361617056865067,0.00327177337163632,0.0103443971970143,0.0221891962888379,139,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"transfer_composite_fp","poverty_child_q",4,2.13573373500495e-05,2.61034123167271e-05,4.74607496667766e-06,7.04614329434364e-06,7.04614329434364e-06,7.750757623778e-06,0.00104473730604926,0.000945238514996945,0.0100994987910523,0.0221891962888379,137,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"transfer_composite_fp","poverty_child_q",8,3.00738927038305e-05,3.67569799713484e-05,6.68308726751789e-06,1.56315802847541e-05,1.56315802847541e-05,1.71947383132295e-05,0.0361810222384213,0.0327352105966669,0.0134458116417544,0.0221891962888379,133,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"transfer_composite_fp","gini_households_q",2,2.28725107573509e-08,2.79552909256511e-08,5.08278016830021e-09,1.35136375183562e-08,1.35136375183562e-08,1.48650012701918e-08,0.0653220710826156,0.0591009214556998,0.0162211496269158,0.0243317244403737,139,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"transfer_composite_fp","gini_households_q",4,5.03350146152934e-08,6.1520573418692e-08,1.11855588033985e-08,2.04632604974175e-08,2.04632604974175e-08,2.25095865471592e-08,0.00749871666768669,0.00678455317552606,0.0107141634921606,0.0221891962888379,137,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"transfer_composite_fp","gini_households_q",8,6.71115826164822e-08,8.20252676423672e-08,1.49136850258849e-08,2.89711948128562e-08,2.89711948128562e-08,3.18683142941418e-08,0.0117647175395567,0.0106442682500751,0.0111204492894816,0.0221891962888379,133,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"transfer_composite_fp","median_real_income_fred_q",2,-0.00815798827034536,-0.00997087455264433,-0.00181288628229897,0.00773751912877208,0.00773751912877208,0.00851127104164929,0.255670832143852,0.231321229082533,0.0343496030613193,0.0426408865588791,139,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"transfer_composite_fp","median_real_income_fred_q",4,-0.0208219348624713,-0.0254490314985761,-0.00462709663610475,0.0155016199332793,0.0155016199332793,0.0170517819266073,0.144883308911467,0.131084898538947,0.0237984103725207,0.0317312138300276,137,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
"transfer_composite_fp","median_real_income_fred_q",8,-0.0412284078637027,-0.0503902762778589,-0.00916186841415616,0.0201382479799134,0.0201382479799134,0.0221520727779048,0.0258280064991098,0.0233681963563375,0.0124598101427724,0.0221891962888379,133,"recession_state_unavailable","dflmx_20260406T171420Z_propagate","2026-04-06T17:14:20Z","config_dflmx_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dflmx-R/config_dflmx_poverty_outcomes_bridge.R","propagate"
